Sprachname,Sprachkürzel,Kürzel eingebunden
Karelisch,{{krl}},Karelisch
Karok,{{kyh}},Karok
Kasachisch,{{kk}},Kasachisch
Kaschmiri,{{ks}},Kashmiri
Kaschmirisch,{{ks}},Kashmiri
Kaschubisch,{{csb}},Kaschubisch
Katalanisch,{{ca}},Katalanisch
Kawi,{{kaw}},Kawi
Ketschua,{{qu}},Quechua
Khmer,{{km}},Kambodschanisch
Kikongo,{{kg}},Kikongo
Kikuyu,{{ki}},Kikuyu
Kinyarwanda,{{rw}},Kinyarwanda
Kirgisisch,{{ky}},Kirgisisch
Kiribatisch,{{gil}},Gilbertesisch
Kirundi (Rundisch),{{rn}},Kirundi
Kiswahili,{{sw}},Suaheli
Klingonisch,{{tlh}},Klingonisch
Kölsch,{{ksh}},Kölsch
Komi-Permjakisch,{{koi}},Komi-Permjakisch
Komi,{{kv}},Komi
Komorisch,{{swb}},Komorisch
Kongo,{{kg}},Kikongo
Konkani,{{kok}},Konkani
Koreanisch,{{ko}},Koreanisch
Kornisch,{{kw}},Kornisch
Korsisch,{{co}},Korsisch
Kosrae,{{kos}},Kosraeanisch
Kri/Cri/Cree,{{cr}},Cree
Krimtatarisch,{{crh}},Krimtatarisch
Kroatisch,{{hr}},Kroatisch
Kuanyama,{{kj}},Kuanyama
Kumükisch,{{kum}},Kumükisch
Kurdisch,{{ku}},Kurdisch
Kurdisch (Kurmanji),{{kmr}},Kurmandschi
Kurdisch (Sorani),{{ckb}},Sorani
Kurmandschi,{{kmr}},Kurmandschi
Kymrisch,{{cy}},Walisisch
,,
Ladinisch,{{lld}},Ladinisch
Ladino/Sephardisch,{{lad}},Ladino
Laotisch,{{lo}},Laotisch
Lasisch,{{lzz}},Lasisch
Latein,{{la}},Latein
Lepcha,{{lep}},Lepcha
Lettisch,{{lv}},Lettisch
Ligurisch,{{lij}},Ligurisch
Limburgisch,{{li}},Limburgisch
Lingala,{{ln}},Lingala
Litauisch,{{lt}},Litauisch
Livisch,{{liv}},Livisch
Lojban,{{jbo}},Lojban
Lombardisch,{{lmo}},Lombardisch
Luganda,{{lg}},Luganda
Luwisch,{{xlu}},Luwisch
Luxemburgisch,{{lb}},Luxemburgisch
Lydisch,{{xld}},Lydisch
,,
Maasai,{{mas}},Maa
Madagassisch/Malagasy,{{mg}},Madagassisch
Maduresisch,{{mad}},Maduresisch
Makassar,{{mak}},Makassar
Makedonisch,{{mk}},Mazedonisch
Malabarisch,{{ta}},Tamil
Malagasy,{{mg}},Madagassisch
Malaiisch/Malaysisch,{{ms}},Malaiisch
Malayalam,{{ml}},Malayalam
Maledivisch/Dhivehi,{{dv}},Maledivisch
Maltesisch,{{mt}},Maltesisch
Mandschurisch,{{mnc}},Mandschurisch
Mansisch,{{mns}},Mansisch
Manx,{{gv}},Manx
Maori,{{mi}},Maori
Mapudungun,{{arn}},Mapudungun
Marathi (Marathisch),{{mr}},Marathi
Mari,{{chm}},Mari
Marijisch,{{chm}},Mari
Marokkanisch,{{ary}},Marokkanisch-Arabisch
Marshallesisch,{{mh}},Marshallesisch
Massai,{{mas}},Maa
Mazedonisch,{{mk}},Mazedonisch
Minangkabau,{{min}},Minangkabau
Min Nan,{{nan}},Min Nan
Mittelenglisch,{{enm}},Mittelenglisch
Mittelhochdeutsch,{{gmh}},Mittelhochdeutsch
Mittelirisch,{{mga}},Mittelirisch
Mittelniederdeutsch,{{gml}},Mittelniederdeutsch
Mittelniederländisch,{{dum}},Mittelniederländisch
Mohawk,{{moh}},Mohawk
Mokscha(nisch),{{mdf}},Mokscha
Moldauisch/Moldawisch,{{mo}},Moldauisch
Mongolisch,{{mn}},Mongolisch
"Mordwinisch, Ersa-",{{myv}},Ersja
"Mordwinisch, Mokscha-",{{mdf}},Mokscha
Muskogee / Creek,{{mus}},Creek
Muskogisch / Creek,{{mus}},Creek
Myanmarisch/Birmanisch,{{my}},Birmanisch
,,
Nahuatl/ Aztekisch,{{nah}},Nahuatl
Nama,{{naq}},Nama
Nauruisch,{{na}},Nauruisch
Navajo,{{nv}},Navajo
Ndebele (Nord-Ndebele),{{nde}},Ndebele
Ndebele (Süd-Ndebele),{{nr}},Süd-Ndebele
Ndonga,{{ng}},Ndonga
Neapolitanisch,{{nap}},Neapolitanisch
Nepalesisch (Nepali),{{ne}},Nepalesisch
Nepal Bhasa,{{new}},Newari
Neugriechisch,{{el}},Griechisch (Neu-)
Neumongolisch,{{mn}},Mongolisch
Newari,{{new}},Newari
Ngoni,{{ngo}},Ngoni
Nieder-Sorbisch,{{dsb}},Niedersorbisch
Niederländisch/Holländisch,{{nl}},Niederländisch
"Niederländisch, Mittel-",{{dum}},Mittelniederländisch
Niedersächsisch,{{nds}},Niederdeutsch
Nogaisch,{{nog}},Nogaisch
Nordaserbaidschanisch,{{azj}},Nordaserbaidschanisch
Nordfriesisch,{{frr}},Nordfriesisch
Nordsamisch,{{se}},Nordsamisch
Norfuk,{{pih}} (Norfolk),Pitkern (Norfolk)
Norwegisch,{{no}},Norwegisch
Norwegisch (Bokmål),{{nb}},Bokmål
"Norwegisch (Nynorsk, Neunorwegisch)",{{nn}},Nynorsk
Novial,{{nov}},Novial
,,
Ober-Sorbisch,{{hsb}},Obersorbisch
Ojibwe,{{oj}},Ojibwe
Okzitanisch,{{oc}},Okzitanisch
Orija,{{or}},Oriya
Oriya,{{or}},Oriya
Oromo,{{om}},Oromo
Ossetisch,{{os}},Ossetisch
Otjiherero,{{hz}},Otjiherero
,,
Pali,{{pi}},Pali
Pandschabisch/Pundjabisch,{{pa}},Pandschabi
Papiamentu,{{pap}},Papiamentu
Paschtu (Paschtunisch),{{ps}},Paschtu
Pedi,{{nso}},Nord-Sotho
Pennsylvania Dutch,{{pdc}},Pennsylvaniadeutsch
Persisch,{{fa}},Persisch
Piemontisch,{{pms}},Piemontesisch
Pitcairn-Englisch,{{pih}},Pitkern
Pitkern,{{pih}},Pitkern
Pijin/Neu-Salomonisch,{{pis}},Pijin
Plattdeutsch,{{nds}},Niederdeutsch
Plautdietsch,{{pdt}},Plautdietsch
Polabisch,{{pox}},Polabisch
Polnisch,{{pl}},Polnisch
Portugiesisch,{{pt}},Portugiesisch
Prußisch,{{prg}},Prußisch
,,
Quechua,{{qu}},Quechua
,,
Rajasthani,{{raj}},Rajasthani
Rapa Nui,{{rap}},Rapanui
Rapanui,{{rap}},Rapanui
Rätoromanisch,{{rm}},Rätoromanisch
Romani,{{rom}},Romani
"Romani, Walachisch-",{{rmy}},Vlax
Ruandisch,{{rw}},Kinyarwanda
Rumänisch,{{ro}},Rumänisch
Russisch,{{ru}},Russisch
,,
"Saami, Inari-",{{smn}},Inarisamisch
Salomonen-Pidgin,{{pis}},Pijin
Samische Sprachen,{{smi}},Sami
Samoanisch,{{sm}},Samoanisch
Sango,{{sg}},Sango
Sanskrit,{{sa}},Sanskrit
Sardinisch,{{sc}},Sardisch
Sardisch,{{sc}},Sardisch
Saterfriesisch,{{stq}},Saterfriesisch
Schemaitisch,{{sgs}},Schemaitisch
Schlesisch (polnisch),{{szl}},Schlesisch (Polnisch)
Schona,{{sn}},Shona
Schottisch-Gälisch,{{gd}},Schottisch-Gälisch
Schottisch,{{sco}},Scots
Schottisches Gälisch,{{gd}},Schottisch-Gälisch
Schwäbisch,{{swg}},Schwäbisch
Schwedisch,{{sv}},Schwedisch
Schweizerdeutsch,{{gsw}},Schweizerdeutsch
Scots,{{sco}},Scots
Sephardisch (Ladino),{{lad}},Ladino
Serbisch,{{sr}},Serbisch
Serbokroatisch,{{sh}},Serbokroatisch
Seselwa,{{crs}},Seselwa
Sesotho,{{st}},Sesotho
Setswana,{{tn}},Setswana
Shona,{{sn}},Shona
Sindarin,{{sjn}},Sindarin
Sindhi,{{sd}},Sindhi
Singhalesisch,{{si}},Singhalesisch
siSwati,{{ss}},Siswati
Sizilianisch,{{scn}},Sizilianisch
Slowakisch,{{sk}},Slowakisch
Slowenisch,{{sl}},Slowenisch
Somali,{{so}},Somalisch
Sorani,{{ckb}},Sorani
Sorbische Sprachen,{{wen}},Sorbisch
"Sorbisch, Nieder-",{{dsb}},Niedersorbisch
